Full_Sku,Parent_Sku,Child_Sku,Detail_Image_Name,Thumbnail_Image_Name,New_Product,Product_Category,Product_Name,Available_Options,Weight_lb,MSRP,MAP,MAP_%,Wholesale_Price,Box_Width_in,Box_Length_in,Box_Height_in,Number_of_Boxes,Ships_in_Own_Box,Country_Of_Origin,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Description_7,Description_8,Description_9,Description_10,Description_11,Description_12,Description_13,Description_14,Description_15,Description_16,
15-4101 14 ,15-4101,14,15-4101.JPG,15-4101.JPG,,Darts,Bull Seeker Dart Steel Tip ,14 gram,0.15,$4.95,,,$2.75,0,0,0,1,No,Made in China ,Bull Seeker Darts,Brass barrels,Nylon shaft/Flight Combo,Steel Tips,14 gram only,,,,,,,,,,,,
15-4105 16 ,15-4105,16,15-4105.JPG,15-4105.JPG,,Darts,Mark-It Dart Soft Tip ,16 gram,0.1,$7.95,,,$2.50,0,0,0,1,No,Made in China ,Mark-It Darts,Brass barrels,Nylon shafts,2ba Nylon tips,16 gram only,,,,,,,,,,,,
15-4120 16 ,15-4120,16,15-4120.JPG,15-4120.JPG,,Darts,Inferno Dart Soft Tip ,16 gram,0.55,$24.95,,,$10.50,0,0,0,1,No,Made in China ,2 Toned Nickel plated barrels,Aluminum shafts,2ba Nylon tips,16 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,20 Extra 2ba Nylon Tips,*Flights and shafts may vary*,,,,,,,,
15-4120 18 ,15-4120,18,15-4120.JPG,15-4120.JPG,,Darts,Inferno Dart Soft Tip ,18 gram,0.55,$24.95,,,$10.50,0,0,0,1,No,Made in China ,2 Toned Nickel plated barrels,Aluminum shafts,2ba Nylon tips,18 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,20 Extra 2ba Nylon Tips,*Flights and shafts may vary*,,,,,,,,
15-4120 20 ,15-4120,20,15-4120.JPG,15-4120.JPG,,Darts,Inferno Dart Soft Tip ,20 gram,0.55,$24.95,,,$10.50,0,0,0,1,No,Made in China ,2 Toned Nickel plated barrels,Aluminum shafts,2ba Nylon tips,20 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,20 Extra 2ba Nylon Tips,*Flights and shafts may vary*,,,,,,,,
15-4121 21 ,15-4121,21,15-4121.JPG,15-4121.JPG,,Darts,Inferno Dart Steel Tip ,21 gram,0.65,$27.98,,,$10.50,0,0,0,1,No,Made in China ,2 Toned Nickel plated barrels,Aluminum shafts,Steel Tips,21 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,Sharpening Stone,*Flights and shafts may vary*,,,,,,,,
15-4121 23 ,15-4121,23,15-4121.JPG,15-4121.JPG,,Darts,Inferno Dart Steel Tip ,23 gram,0.65,$27.95,,,$10.50,0,0,0,1,No,Made in China ,2 Toned Nickel plated barrels,Aluminum shafts,Steel Tips,23 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,Sharpening Stone,*Flights and shafts may vary*,,,,,,,,
15-4121 25 ,15-4121,25,15-4121.JPG,15-4121.JPG,,Darts,Inferno Dart Steel Tip ,25 gram,0.65,$27.95,,,$10.50,0,0,0,1,No,Made in China ,2 Toned Nickel plated barrels,Aluminum shafts,Steel Tips,25 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,Sharpening Stone,*Flights and shafts may vary*,,,,,,,,
15-4125 16 ,15-4125,16,15-4125.JPG,15-4125.JPG,,Darts,Tuff Grip Dart Soft Tip ,16 gram,0.55,$27.95,,,$12.00,0,0,0,1,No,Made in China ,"Nickel plated barrels, non-slip grips",Aluminum shafts,2ba Nylon tips,16 Gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,20 Extra 2ba Nylon Tips,*Flights and shafts may vary*,,,,,,,,
15-4135 16 ,15-4135,16,15-4135.JPG,15-4135.JPG,,Darts,Wolverine Dart Soft Tip ,16 gram,0.55,$59.95,,,$26.00,0,0,0,1,No,Made in China ,"Tungsten barrels, 80/20",Aluminum shafts,2ba Nylon tips,16 gram,"Deluxe tri-pack case, includes: out chart, dart tool and 6 flight protectors",,6 Extra flights and 3 Extra Nylon Shafts,20 Extra 2ba Nylon Tips,*Flights and shafts may vary*,,,,,,,,
